,age,salary,add_comp,overall_exp,job_exp,education,gender
359,55-64,159800.0,2820.0,21 - 30 years,21 - 30 years,Master's degree,Woman
360,45-54,82661.72,3760.0,21 - 30 years,11 - 20 years,College degree,Woman
361,25-34,117500.0,470.0,5-7 years,5-7 years,PhD,Woman
362,25-34,41400.0,4140.0,1 year or less,1 year or less,College degree,Woman
363,55-64,174840.0,0.0,31 - 40 years,31 - 40 years,College degree,Man
364,35-44,33810.0,0.0,21 - 30 years,11 - 20 years,Some college,Woman
365,25-34,47940.0,0.0,5-7 years,5-7 years,College degree,Woman
366,25-34,58092.0,940.0,8 - 10 years,5-7 years,College degree,Man
367,25-34,145700.0,29140.0,8 - 10 years,8 - 10 years,College degree,Woman
368,35-44,37600.0,188.0,11 - 20 years,11 - 20 years,College degree,Woman
369,25-34,67445.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
370,35-44,65800.0,0.0,8 - 10 years,2 - 4 years,Master's degree,Man
371,35-44,81780.0,0.0,21 - 30 years,8 - 10 years,Master's degree,Woman
372,35-44,147580.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
373,35-44,61100.0,0.0,5-7 years,5-7 years,College degree,Woman
374,25-34,39592.799999999996,0.0,2 - 4 years,2 - 4 years,College degree,Woman
375,25-34,61100.0,4700.0,5-7 years,2 - 4 years,Master's degree,Woman
376,25-34,79900.0,0.0,8 - 10 years,8 - 10 years,College degree,Man
377,35-44,80840.0,2820.0,8 - 10 years,8 - 10 years,College degree,Woman
378,35-44,79900.0,6580.0,11 - 20 years,11 - 20 years,College degree,Woman
379,45-54,88360.0,0.0,21 - 30 years,21 - 30 years,PhD,Woman
380,45-54,97760.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
381,45-54,82720.0,8272.0,8 - 10 years,8 - 10 years,College degree,Woman
382,35-44,48880.0,0.0,11 - 20 years,8 - 10 years,Some college,Woman
383,25-34,61100.0,2820.0,8 - 10 years,8 - 10 years,College degree,Woman
384,45-54,164500.0,164500.0,21 - 30 years,11 - 20 years,College degree,Man
385,25-34,125960.0,2820.0,8 - 10 years,5-7 years,Master's degree,Woman
386,35-44,92590.0,9400.0,21 - 30 years,21 - 30 years,College degree,Woman
387,35-44,40420.0,0.0,8 - 10 years,5-7 years,Some college,Woman
388,45-54,34509.28,0.0,11 - 20 years,5-7 years,Some college,Woman
389,35-44,105280.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
390,25-34,79900.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
391,25-34,56400.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
392,35-44,47000.0,0.0,11 - 20 years,2 - 4 years,High School,Woman
393,18-24,48880.0,0.0,2 - 4 years,1 year or less,College degree,Woman
394,25-34,53580.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
395,25-34,47940.0,1410.0,5-7 years,5-7 years,College degree,Woman
396,25-34,50760.0,0.0,5-7 years,2 - 4 years,College degree,Woman
397,25-34,52640.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
398,25-34,52640.0,7520.0,2 - 4 years,5-7 years,PhD,Woman
399,18-24,36660.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
400,25-34,37600.0,1880.0,8 - 10 years,2 - 4 years,College degree,Woman
401,25-34,49334.99999999999,1035.0,8 - 10 years,5-7 years,College degree,Woman
402,45-54,63920.0,940.0,11 - 20 years,8 - 10 years,College degree,Woman
403,35-44,61100.0,2820.0,11 - 20 years,11 - 20 years,Some college,Woman
404,25-34,62980.0,8460.0,8 - 10 years,8 - 10 years,Master's degree,Woman
405,25-34,118440.0,940.0,8 - 10 years,8 - 10 years,College degree,Woman
406,25-34,70500.0,28200.0,5-7 years,5-7 years,Master's degree,Woman
407,35-44,47000.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
408,45-54,137240.0,0.0,11 - 20 years,11 - 20 years,PhD,Woman
409,25-34,94000.0,2350.0,8 - 10 years,8 - 10 years,PhD,Woman
410,35-44,48880.0,5640.0,11 - 20 years,5-7 years,High School,Woman
411,25-34,126900.0,4700.0,8 - 10 years,2 - 4 years,College degree,Woman
412,25-34,123140.0,13160.0,8 - 10 years,5-7 years,College degree,Woman
413,45-54,60160.0,1880.0,21 - 30 years,5-7 years,Master's degree,Woman
414,25-34,58092.0,0.0,5-7 years,5-7 years,College degree,Woman
415,18-24,46060.0,940.0,2 - 4 years,2 - 4 years,College degree,Woman
416,35-44,36472.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
417,35-44,31000.0,0.0,21 - 30 years,11 - 20 years,Some college,Woman
418,25-34,47000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
419,25-34,65800.0,0.0,8 - 10 years,5-7 years,College degree,Woman
420,45-54,118440.0,2162.0,31 - 40 years,21 - 30 years,Master's degree,Woman
421,45-54,37260.0,0.0,5-7 years,5-7 years,College degree,Woman
422,25-34,100580.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
423,25-34,29610.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
424,25-34,75200.0,7520.0,11 - 20 years,5-7 years,College degree,Woman
425,45-54,564000.0,0.0,21 - 30 years,21 - 30 years,PhD,Woman
426,35-44,58649.99999999999,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
427,25-34,98700.0,15040.0,8 - 10 years,5-7 years,Master's degree,Man
428,35-44,112800.0,4700.0,11 - 20 years,8 - 10 years,Master's degree,Woman
429,35-44,77080.0,0.0,11 - 20 years,11 - 20 years,College degree,Man
430,35-44,84600.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
431,35-44,61100.0,32900.0,11 - 20 years,8 - 10 years,College degree,Woman
432,45-54,75200.0,0.0,21 - 30 years,2 - 4 years,College degree,Woman
433,35-44,56400.0,3760.0,11 - 20 years,2 - 4 years,College degree,Woman
435,25-34,169200.0,18800.0,8 - 10 years,8 - 10 years,College degree,Woman
436,35-44,147607.25999999998,29520.699999999997,11 - 20 years,8 - 10 years,Master's degree,Woman
437,35-44,112800.0,0.0,11 - 20 years,2 - 4 years,Some college,Woman
438,25-34,77080.0,9400.0,8 - 10 years,8 - 10 years,College degree,Woman
439,35-44,78490.0,470.0,11 - 20 years,11 - 20 years,Master's degree,Woman
440,35-44,97749.99999999999,0.0,11 - 20 years,5-7 years,College degree,Woman
441,25-34,41830.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
442,25-34,54745.6,0.0,5-7 years,2 - 4 years,Master's degree,Woman
443,25-34,101050.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
444,45-54,145700.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
445,25-34,77456.0,0.0,8 - 10 years,5-7 years,College degree,Woman
446,25-34,61100.0,2820.0,5-7 years,5-7 years,College degree,Woman
447,25-34,77550.0,0.0,5-7 years,5-7 years,College degree,Woman
448,25-34,31960.0,0.0,8 - 10 years,5-7 years,College degree,Non-binary
449,25-34,42300.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
450,35-44,131600.0,18800.0,11 - 20 years,21 - 30 years,Some college,Woman
451,25-34,37950.0,0.0,8 - 10 years,1 year or less,College degree,Woman
452,25-34,188940.0,75200.0,8 - 10 years,5-7 years,Master's degree,Man
453,35-44,197400.0,65800.0,11 - 20 years,11 - 20 years,Some college,Man
454,25-34,108100.0,26320.0,11 - 20 years,5-7 years,College degree,Woman
455,25-34,75200.0,2820.0,1 year or less,1 year or less,Some college,Non-binary
456,25-34,55272.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
457,35-44,95278.4,0.0,8 - 10 years,5-7 years,Master's degree,Woman
458,35-44,96820.0,0.0,21 - 30 years,11 - 20 years,College degree,Man
459,35-44,159800.0,31960.0,21 - 30 years,11 - 20 years,College degree,Woman
460,45-54,77280.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
461,25-34,75200.0,0.0,2 - 4 years,11 - 20 years,Master's degree,Woman
462,25-34,62796.7,1880.0,8 - 10 years,8 - 10 years,PhD,Woman
463,35-44,84600.0,16920.0,11 - 20 years,5-7 years,Master's degree,Woman
464,35-44,109980.0,10998.0,11 - 20 years,8 - 10 years,Master's degree,Woman
465,25-34,42300.0,0.0,5-7 years,1 year or less,Master's degree,Woman
466,35-44,50760.0,0.0,1 year or less,1 year or less,Master's degree,Woman
467,25-34,31283.199999999997,2820.0,5-7 years,5-7 years,Master's degree,Woman
468,25-34,33840.0,0.0,5-7 years,5-7 years,Master's degree,Woman
469,25-34,54520.0,1410.0,11 - 20 years,11 - 20 years,College degree,Woman
470,35-44,80880.0,18000.0,8 - 10 years,2 - 4 years,PhD,Woman
471,25-34,44390.0,1724.9999999999998,8 - 10 years,8 - 10 years,College degree,Woman
472,35-44,155100.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
473,45-54,95880.0,0.0,21 - 30 years,21 - 30 years,Master's degree,Woman
474,55-64,62099.99999999999,6899.999999999999,21 - 30 years,21 - 30 years,College degree,Man
475,55-64,127840.0,23500.0,21 - 30 years,8 - 10 years,Some college,Man
476,35-44,103400.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
477,35-44,67774.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
478,35-44,70500.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
479,25-34,34802.56,0.0,5-7 years,2 - 4 years,PhD,Other or prefer not to answer
480,25-34,51700.0,0.0,5-7 years,2 - 4 years,College degree,Woman
481,35-44,69000.0,0.0,21 - 30 years,21 - 30 years,College degree,Man
482,35-44,73320.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
483,25-34,47000.0,0.0,5-7 years,5-7 years,College degree,Woman
484,45-54,136300.0,14100.0,21 - 30 years,21 - 30 years,College degree,Woman
485,55-64,94000.0,3760.0,21 - 30 years,21 - 30 years,College degree,Woman
486,25-34,60912.0,2820.0,5-7 years,2 - 4 years,Master's degree,Woman
487,35-44,66364.0,0.0,5-7 years,5-7 years,PhD,Woman
488,25-34,56579.99999999999,6899.999999999999,8 - 10 years,5-7 years,Master's degree,Woman
489,45-54,61100.0,6580.0,11 - 20 years,11 - 20 years,College degree,Woman
491,35-44,70500.0,9400.0,11 - 20 years,11 - 20 years,College degree,Woman
492,35-44,37600.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
493,25-34,50933.49999999999,0.0,5-7 years,5-7 years,Master's degree,Woman
494,35-44,44969.6,752.0,11 - 20 years,1 year or less,College degree,Woman
495,35-44,86480.0,2820.0,11 - 20 years,8 - 10 years,Master's degree,Woman
496,55-64,155100.0,0.0,31 - 40 years,31 - 40 years,Master's degree,Woman
497,55-64,37521.979999999996,376.0,31 - 40 years,21 - 30 years,Master's degree,Woman
498,35-44,49820.0,846.0,11 - 20 years,11 - 20 years,College degree,Woman
499,25-34,55836.0,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
500,18-24,50830.5,0.0,1 year or less,1 year or less,College degree,Man
501,25-34,50661.299999999996,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
502,35-44,71440.0,4700.0,11 - 20 years,11 - 20 years,Some college,Woman
503,25-34,63055.2,0.0,2 - 4 years,2 - 4 years,Master's degree,Woman
504,35-44,63479.99999999999,10350.0,11 - 20 years,11 - 20 years,College degree,Man
505,45-54,108100.0,5640.0,21 - 30 years,11 - 20 years,Some college,Woman
506,25-34,67680.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Woman
507,25-34,67116.0,12424.92,8 - 10 years,2 - 4 years,College degree,Woman
508,25-34,60160.0,1410.0,5-7 years,5-7 years,Master's degree,Woman
509,35-44,49820.0,2820.0,21 - 30 years,21 - 30 years,College degree,Woman
510,55-64,67680.0,2350.0,21 - 30 years,11 - 20 years,College degree,Woman
511,45-54,112800.0,18800.0,21 - 30 years,21 - 30 years,Some college,Man
512,25-34,45000.0,3500.0,8 - 10 years,8 - 10 years,College degree,Woman
513,35-44,97290.0,6110.0,11 - 20 years,5-7 years,Master's degree,Woman
514,35-44,130659.99999999999,16920.0,11 - 20 years,11 - 20 years,College degree,Woman
515,25-34,35823.4,676.8,5-7 years,5-7 years,Master's degree,Non-binary
516,35-44,84600.0,0.0,11 - 20 years,8 - 10 years,Master's degree,Man
517,25-34,49820.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
518,25-34,36837.95,0.0,11 - 20 years,11 - 20 years,College degree,Woman
519,35-44,109980.0,18800.0,11 - 20 years,5-7 years,Master's degree,Woman
520,35-44,94000.0,23500.0,11 - 20 years,11 - 20 years,Master's degree,Woman
521,35-44,48880.0,1880.0,11 - 20 years,5-7 years,College degree,Woman
522,25-34,37600.0,0.0,5-7 years,5-7 years,Master's degree,Woman
523,25-34,35880.0,69.0,11 - 20 years,8 - 10 years,Some college,Woman
524,18-24,30080.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
525,25-34,25874.999999999996,0.0,5-7 years,2 - 4 years,Master's degree,Woman
526,25-34,56870.0,2350.0,5-7 years,5-7 years,College degree,Woman
527,35-44,41400.0,0.0,11 - 20 years,2 - 4 years,College degree,Woman
528,25-34,27599.999999999996,1380.0,5-7 years,2 - 4 years,College degree,Woman
529,25-34,81780.0,6580.0,5-7 years,5-7 years,College degree,Woman
530,25-34,89300.0,2820.0,8 - 10 years,2 - 4 years,College degree,Man
531,25-34,83660.0,3760.0,2 - 4 years,2 - 4 years,College degree,Man
532,35-44,65800.0,0.0,11 - 20 years,5-7 years,Master's degree,Woman
533,25-34,67680.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
534,35-44,73696.0,3760.0,11 - 20 years,11 - 20 years,College degree,Woman
535,25-34,47000.0,940.0,5-7 years,5-7 years,Some college,Man
536,35-44,84600.0,4700.0,11 - 20 years,5-7 years,College degree,Man
538,35-44,68620.0,2820.0,11 - 20 years,11 - 20 years,Master's degree,Woman
539,45-54,84600.0,2350.0,21 - 30 years,21 - 30 years,Master's degree,Woman
540,25-34,65800.0,0.0,1 year or less,1 year or less,PhD,Other or prefer not to answer
541,45-54,49507.49999999999,0.0,8 - 10 years,5-7 years,Master's degree,Woman
542,35-44,110920.0,940.0,11 - 20 years,11 - 20 years,College degree,Man
543,25-34,75200.0,11280.0,8 - 10 years,8 - 10 years,PhD,Woman
544,35-44,143820.0,28200.0,11 - 20 years,11 - 20 years,College degree,Woman
545,55-64,100580.0,0.0,41 years or more,31 - 40 years,High School,Man
546,35-44,111860.0,16779.0,11 - 20 years,11 - 20 years,Master's degree,Woman
547,25-34,37600.0,0.0,5-7 years,2 - 4 years,College degree,Woman
548,45-54,62886.0,2820.0,21 - 30 years,11 - 20 years,College degree,Woman
549,25-34,54520.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
550,25-34,56400.0,5640.0,5-7 years,2 - 4 years,College degree,Woman
551,35-44,61100.0,940.0,8 - 10 years,2 - 4 years,Master's degree,Man
552,35-44,48880.0,1880.0,11 - 20 years,8 - 10 years,College degree,Woman
553,25-34,79900.0,0.0,5-7 years,1 year or less,Some college,Woman
554,35-44,131600.0,14100.0,11 - 20 years,8 - 10 years,Master's degree,Woman
555,25-34,49820.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
556,25-34,39480.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
557,25-34,75200.0,0.0,2 - 4 years,2 - 4 years,College degree,Man
558,25-34,42090.38,0.0,5-7 years,5-7 years,Master's degree,Non-binary
559,45-54,89300.0,8036.999999999999,21 - 30 years,21 - 30 years,College degree,Woman
560,45-54,37600.0,0.0,11 - 20 years,11 - 20 years,Some college,Woman
561,35-44,141000.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
562,25-34,34780.0,0.0,2 - 4 years,2 - 4 years,College degree,Woman
563,35-44,103776.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
564,45-54,65800.0,0.0,21 - 30 years,2 - 4 years,College degree,Woman
565,25-34,188000.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
566,35-44,64859.99999999999,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
567,25-34,34500.0,6899.999999999999,11 - 20 years,5-7 years,College degree,Woman
568,35-44,88601.58,0.0,11 - 20 years,11 - 20 years,College degree,Woman
569,35-44,37600.0,940.0,11 - 20 years,5-7 years,College degree,Woman
570,25-34,83660.0,1880.0,5-7 years,5-7 years,Master's degree,Woman
571,35-44,67962.0,0.0,11 - 20 years,5-7 years,PhD,Woman
572,35-44,77080.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
573,25-34,61100.0,2820.0,5-7 years,2 - 4 years,College degree,Woman
574,25-34,33840.0,0.0,8 - 10 years,8 - 10 years,Master's degree,Non-binary
575,25-34,98700.0,4935.0,11 - 20 years,8 - 10 years,Master's degree,Woman
576,35-44,109980.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
577,25-34,34500.0,0.0,5-7 years,5-7 years,College degree,Woman
578,35-44,118440.0,5640.0,11 - 20 years,8 - 10 years,College degree,Woman
579,45-54,100580.0,6580.0,21 - 30 years,11 - 20 years,College degree,Woman
580,25-34,51700.0,1880.0,5-7 years,5-7 years,College degree,Man
581,45-54,66930.0,0.0,31 - 40 years,31 - 40 years,College degree,Woman
582,25-34,47940.0,1128.0,8 - 10 years,5-7 years,College degree,Woman
583,25-34,101520.0,37600.0,5-7 years,5-7 years,PhD,Woman
584,25-34,37600.0,1880.0,5-7 years,2 - 4 years,College degree,Woman
585,35-44,159800.0,65800.0,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer
586,25-34,61100.0,2820.0,8 - 10 years,1 year or less,College degree,Woman
587,45-54,70500.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
588,55-64,85540.0,0.0,31 - 40 years,11 - 20 years,College degree,Woman
589,18-24,41360.0,0.0,2 - 4 years,2 - 4 years,College degree,Other or prefer not to answer
590,35-44,48880.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
591,25-34,104747.01999999999,0.0,5-7 years,5-7 years,Master's degree,Woman
592,45-54,54827.38,0.0,11 - 20 years,2 - 4 years,College degree,Woman
593,25-34,54520.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
594,45-54,52640.0,0.0,21 - 30 years,8 - 10 years,Master's degree,Woman
595,45-54,135360.0,13160.0,21 - 30 years,21 - 30 years,Master's degree,Man
596,35-44,62829.6,0.0,11 - 20 years,11 - 20 years,College degree,Woman
597,45-54,85540.0,4700.0,11 - 20 years,8 - 10 years,College degree,Woman
598,55-64,54509.99999999999,0.0,41 years or more,31 - 40 years,Master's degree,Woman
599,25-34,81780.0,0.0,11 - 20 years,2 - 4 years,Master's degree,Woman
600,35-44,33031.6,0.0,11 - 20 years,8 - 10 years,Master's degree,Woman
601,35-44,23500.0,0.0,8 - 10 years,8 - 10 years,PhD,Woman
602,45-54,112800.0,0.0,21 - 30 years,11 - 20 years,Master's degree,Woman
604,45-54,144760.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
605,45-54,33350.0,0.0,21 - 30 years,11 - 20 years,Some college,Woman
606,35-44,35682.4,0.0,11 - 20 years,5-7 years,College degree,Woman
607,35-44,47000.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
608,25-34,75200.0,0.0,5-7 years,5-7 years,College degree,Woman
609,25-34,47940.0,0.0,5-7 years,2 - 4 years,Master's degree,Woman
610,25-34,63121.0,940.0,5-7 years,2 - 4 years,College degree,Woman
611,35-44,79900.0,0.0,8 - 10 years,5-7 years,PhD,Woman
612,35-44,49820.0,940.0,21 - 30 years,5-7 years,College degree,Woman
613,25-34,77550.0,0.0,8 - 10 years,5-7 years,PhD,Woman
614,25-34,54520.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
615,45-54,188000.0,94000.0,21 - 30 years,21 - 30 years,College degree,Woman
616,55-64,103400.0,9400.0,11 - 20 years,11 - 20 years,Master's degree,Woman
617,55-64,54520.0,0.0,41 years or more,21 - 30 years,PhD,Woman
618,35-44,67210.0,2820.0,8 - 10 years,5-7 years,College degree,Woman
619,45-54,75200.0,1410.0,21 - 30 years,5-7 years,College degree,Woman
620,25-34,45023.88,3587.9999999999995,11 - 20 years,8 - 10 years,College degree,Woman
621,25-34,102460.0,8460.0,8 - 10 years,8 - 10 years,College degree,Other or prefer not to answer
622,45-54,48880.0,0.0,21 - 30 years,11 - 20 years,College degree,Woman
623,18-24,35193.6,0.0,2 - 4 years,2 - 4 years,College degree,Woman
624,18-24,50760.0,0.0,2 - 4 years,41 years or more,College degree,Man
625,45-54,133794.9,28731.1,21 - 30 years,21 - 30 years,Master's degree,Woman
626,25-34,70500.0,0.0,8 - 10 years,2 - 4 years,College degree,Woman
627,45-54,51749.99999999999,4140.0,21 - 30 years,8 - 10 years,College degree,Woman
628,25-34,87420.0,0.0,8 - 10 years,5-7 years,Master's degree,Woman
629,25-34,60029.99999999999,6899.999999999999,8 - 10 years,8 - 10 years,Master's degree,Woman
630,45-54,21620.0,0.0,21 - 30 years,5-7 years,High School,Woman
631,65 or over,47940.0,6.58,31 - 40 years,31 - 40 years,Master's degree,Woman
632,45-54,67680.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
633,25-34,35173.86,0.0,8 - 10 years,2 - 4 years,College degree,Woman
634,25-34,94000.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
635,25-34,21912.0,1750.0,2 - 4 years,1 year or less,Some college,Woman
636,25-34,58280.0,0.0,11 - 20 years,8 - 10 years,College degree,Woman
637,55-64,98700.0,0.0,21 - 30 years,21 - 30 years,College degree,Woman
638,25-34,88360.0,0.0,8 - 10 years,8 - 10 years,College degree,Woman
639,45-54,85540.0,0.0,11 - 20 years,11 - 20 years,Master's degree,Woman
640,45-54,49632.0,3384.0,21 - 30 years,11 - 20 years,High School,Woman
641,35-44,29267.499999999996,0.0,8 - 10 years,2 - 4 years,PhD,Woman
642,35-44,61100.0,0.0,11 - 20 years,11 - 20 years,College degree,Woman
643,35-44,103400.0,4700.0,11 - 20 years,11 - 20 years,College degree,Woman
644,25-34,82297.0,1880.0,8 - 10 years,5-7 years,College degree,Woman
645,35-44,77080.0,7708.0,11 - 20 years,11 - 20 years,Master's degree,Woman
